text;emotion
Mrs Phillips a majority of the Telegraph coverage has favoured Brexit,rightfully so it's a right wing paper.;fear
Assange on  Brexit, HillaryClinton and realDonaldTrump … via wikileaks;fear
people on Facebook fearful of offending if they mention the  EUref well not me !  Brexit  democracy (also on FB);fear
vile woman  brexit;fear
JohnCleese thank you John  Brexit;sadness
 brexit What has Europe ever done for you? Vote out while you still can.;anger
 brexit if you were born British in the uk over 41 years ago, vote out so you can die british. RT;fear
 brexit David Cameron wants to give his power to Europe because he can't make his own decisions. RT;fear
 brexit Eurovision votes work against us to keep us down. The EU works the same way. RT;fear
 brexit Imigration is not about race, religion or colour, it is about reserving sufficient reources for UK citizens. RT;anger
 brexit Money leaving pound for other currencies pre brexit. Watch it all come back after we leave the EU. RT;fear
 brexit  corbin Why change EU from the inside when we can ignore it from the outside! RT;fear
Rewatching Nigel_Farage debate w/ Labs Mr Coaker. On fire that nite. Making the strng, optimistic, patriotic case for  Brexit  BetterOffOut;fear
This just come through the post from Britain Strong in Europe.  denied  BetterOffOut  GO! LeaveEU  euref;fear
BREXIT 1) The ‘  Brexit ’  vote has  already  changed  Europe , and there’s more to come Jun 21,2016 WSJ;fear
Yes, but with skilled labour! Are you really that desperate?  Brexit.;fear
All you have left is to scare people congratulations on your inspirational campaign but I shall be voting for a  Brexit 1 in 10!;fear
I know, I know StrongerINPress & StrongerIN you're finding my honest, witty & direct replies to your lying tweets as funny as I am  Brexit;fear
Now that's the most desperate tweet that you've sent. Must be really spooked about a  Brexit now - you cowards!;fear
I wonder how long it'll take UKLabourIN to realise the reason their support is plummeting is because they supported the wrong side?  Brexit;joy
To be honest, if I had to have a seat at that table, I would rather be sitting on the naughty step anyway.  Brexit!;fear
RedHotSquirrel piersmorgan As if we didn't need any more incentive to leave the EU.  Brexit!;fear
If anything the momentum is just getting stronger & stronger to leave! Everyone wants a  Brexit!;fear
StrongerInPress No you won't - you will be talking down our economy & trying to scare people - as usual! Come on  Brexit!;fear
Isn't it about time that we genuinely let the people decide what we want as a nation, I just want a  Brexit!;anger
"Even the four minute"" condescended version was ridiculously one way! ITV bias all the way against  Brexit!""";joy
When are you coming back home to single-handedly win the EU referendum for the  Brexit campaign please? …;fear
strongerinpress Have you noticed how your online support keeps getting smaller with each tweet you send out?  Brexit!;joy
Of course it will & miracle of miracles I agree with you. Jobs will rise and prices will go down.  Brexit!;anger
leaveeuofficial Is Faisal Islam now realising what a mistake he made with his inquistion of Gove as support for  Brexit soars?;fear
strongerinpress Haven't you been able to come up with a different story yet, talk about old news -  Brexit!;anger
That's rich, given all the lies you have spread over the referendum! Are the turkies coming home to roost now?  Brexit!;anger
Then stop putting your country down then, people are sick of it! Completely sick of it!  Brexit!;anger
He makes such an impressive case for leaving doesn't he,  Brexit!;anger
Which is great they love the UK too a pity a lot of our MP's and current PM don't feel the same way.  Brexit;anger
Is he now saying a  Brexit will spark WW3 too? LOL!;fear
When a Frexit happens as is inevitable, and if we aren't in the EU that will be a huge positive.  Brexit first.;fear
When a Frexit inevitably happens, you will all be so grateful that we will have left the EU.  Brexit first!;fear
All the pro-EU ex PM's in a panic to protect their fortunes after the Osborne train wreck car crash interview - spreading more fear!  Brexit;fear
You can trust some more than others.  Brexit;anger
Labour is becoming as publicly divided as the Tories are over the EU, a great  Brexit bonus, when will Corbyn decide to vote to leave?;fear
Is that the best you can do? Pathetic just like your stupid bias - I hope you get so many contract cancellations because of  Brexit;fear
When's Angela Eagle going to live up to her supposed beliefs & come out for a  Brexit, instead of portraying herself as a corporatist elite?;fear
That's true, Iceland is just one of many reasons why we will be better off as a nation when we leave the EU.  Brexit;fear
Yes there will be, stop lying! All the remainiacs want one too. That is why we must vote for a  Brexit!;sadness
"We have to head towards a world where all 7 billion people have a fair chance"" - says millionaire eddieizzard - I say let's have a  Brexit""";fear
Well quite. Let's enjoy a  Brexit instead!;anger
And after a  Brexit that number will go down as we can employ more young people from the UK, instead of from the EU! …;fear
Spoken with my local UKIPPER & will be attending the Grassroots_Out meeting tomorrow & after the town hall EU debate, I cannot wait  Brexit;fear
Not unless you enjoy getting burned anyway.  Brexit;anger
mikkil Where have all their so-called experts gone? I know, they have all gone to  Brexit!;fear
